,My
0,0.10971645414426774
1,0.14032566591103865
2,0.151679489029064
3,0.1858495543918466
4,0.20211865802227325
5,0.253959838357569
6,0.26336406154330555
7,0.2991796344669533
8,0.30757319344927414
9,0.35946090803661773
10,0.3387967283029301
11,0.3795622365696261
12,0.396737213469726
13,0.41001947555094015
14,0.4312672952500492
15,0.42438009095834645
16,0.45742078053602236
17,0.4736655952295955
18,0.47076786644612023
19,0.500564524496508
20,0.49176601157273153
21,0.5124798138392271
22,0.5294226411965055
23,0.5338317334171453
24,0.5390293836834732
25,0.5346397051546097
26,0.538279735442724
27,0.5476482096215833
28,0.5266067009392981
29,0.5353306034557703
30,0.5251749457428806
31,0.5298239900065286
32,0.5364597200376494
33,0.5436909990230981
34,0.5397361717388995
35,0.5284635491552219
36,0.5265192320710997
37,0.5193011807917809
38,0.518760891757394
39,0.5227371519334764
40,0.5176952605298939
41,0.5320850295483045
42,0.5306161083303687
43,0.5322488055209841
44,0.5366904259375883
45,0.5348054216478988
46,0.5380593161458226
47,0.5342515297293405
48,0.5270385591250656
49,0.5315379733744798
