,My
0,0.16219351991478345
1,0.23136550509980616
2,0.3379573197525046
3,0.3802976624870953
4,0.4649062794501602
5,0.456653639228322
6,0.4900196070622278
7,0.5222873588244464
8,0.5056845481746461
9,0.5207424999284261
10,0.534439785734694
11,0.5210685861346774
12,0.5166752493692089
13,0.4912706386372692
14,0.5168522164771993
15,0.5073483919596924
16,0.4844516044051212
17,0.5444735862147305
18,0.5047989442009494
19,0.5220960677964674
20,0.5450938051785081
21,0.5245603036744391
22,0.5416878513084492
23,0.5415151173475021
24,0.5126098673634302
25,0.483631309547713
26,0.4921579843647763
27,0.51479287045934
28,0.5422913789344274
29,0.5249350637780822
